Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Baldur's Gate III,"Action, Adventure, Fantasy",98%,2023.0,"Return to the Faerun in a tale of fellowship and betrayal, and the lure of absolute power. Mysterious abilities are awakening inside you. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.",Swen Vincke,"Amelia Tyler, Neil Newbon, Jennifer English, Devora Wilde",M
Starfield,"Action, Adventure, Drama",87%,2023.0,"Set 300 years in the future, the player will assume the role of a customisable character who is a member of Constellation, an organization of space explorers.",Todd Howard,"Sumalee Montano, Damien C. Haas, Barry Wiggins, Jake Green",M
Red Dead Redemption II,"Action, Adventure, Crime",97%,2018.0,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.",unspecified,"Benjamin Byron Davis, Roger Clark, Rob Wiethoff, Cali Elizabeth Moore",M
Armored Core VI: Fires of Rubicon,"Action, Adventure, Sci-Fi",79%,2023.0,"Fifty years after a cataclysm caused by a substance discovered on the planet Rubicon 3 that destroyed the planet and surrounding stars, a mercenary travels to Rubicon 3 and is pulled into a war over the substance involving many factions.","Masaru Yamamura, Kenneth Kin Yue Chan, Hidetaka Miyazaki, Naoyuki Takahashi","Fairouz Ai, Takayuki Sakazume, Megumi Han, Ayaka Shimoyamada",T
The Quarry,"Action, Adventure, Drama",%,2022.0,"When the sun goes down on the last night of summer camp, nine teenage counselors are plunged into an unpredictable night of horror.",Will Byles,"Siobhan Williams, Skyler Gisondo, Ted Raimi, Grace Zabriskie",M
God of War: Ragnarök,"Action, Adventure, Drama",96%,2022.0,"Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.",Eric Williams,"Christopher Judge, Sunny Suljic, Danielle Bisutti, Robert Craighead",M
Grand Theft Auto V,"Action, Adventure, Crime",95%,2013.0,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.,unspecified,"Shawn Fonteno, Ned Luke, Steven Ogg, Gerald 'Slink' Johnson",M
Mortal Kombat 1,"Action, Adventure, Fantasy",N/A%,2023.0,"Discover a reborn Mortal Kombat Universe created by the Fire God Liu Kang. Mortal Kombat 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities.","Ed Boon, Paul Johnson","Steve Blum, Cherise Boothe, Andrew Bowen, John Cena",M
Detroit: Become Human,"Action, Adventure, Drama",92%,2018.0,Take control of three androids in their quest to discover who they really are.,David Cage,"Valorie Curry, Bryan Dechart, Jesse Williams, Audrey Boustani",M
Star Wars Jedi: Survivor,"Action, Adventure, Drama",91%,2023.0,"The story of Cal Kestis continues in STAR WARS Jedi: Survivor, a galaxy-spanning, third-person, action-adventure game.",Stig Asmussen,"Cameron Monaghan, Debra Wilson, Noshir Dalal, Tina Ivlev",T
Immortals of Aveum,"Action, Fantasy",81%,2023.0,"In a world shaped by conflict and bloodshed over the control of magic, known as the Everwar, one soldier with newfound powers is reluctantly thrust into mankind's endless battle.",Bret Robbins,"Darren Barnet, Gina Torres, Lily Cowles, Antonio Aakeel",M
The Last of Us,"Action, Adventure, Drama",97%,2013.0,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.","Neil Druckmann, Bruce Straley","Troy Baker, Ashley Johnson, Hana Hayes, Jeffrey Pierce",M
Cyberpunk 2077,"Action, Crime, Drama",82%,2020.0,"In Night City, a mercenary known as V navigates a dystopian society in which the line between humanity and technology becomes blurred.",Adam Badowski,"Cherami Leigh, Gavin Drea, Keanu Reeves, Emily Woo Zeller",M
The Last of Us: Part II,"Action, Adventure, Drama",87%,2020.0,"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.","Neil Druckmann, Kurt Margenau, Anthony Newman","Ashley Johnson, Troy Baker, Derek Phillips, Jeffrey Pierce",M
